run_n 	fq                                                       	fq1 	fq2 	fa      	cl  	b                                	fb                                    	ds  	nfq     	nfa       	ofa 	rl  	t                                 	ff  	itn   	s3w                            	rt                             	rtm  	rtr  	bs  	ftm 	ftr           	ip                  	id                  	rg                  	repeat_n                                                                                 	main_log                                                                              	iterdata_n                                                                           	gem_ind_yes 	mapper_yes 	redis_found 	redis_download 	map_corrected 	mpileup_yes 	csv_yes 	reduce1_n 	reduce2_n 	reduce2_input                                                                                                                                                                                                                                                                                                                                                                 	reduce2_output                                                                                                                                                                                                                                                                                                                                                                   	command                                                                                                                                                                                                                                                                                                                                                                          
    3 	SRR15068323                                              	NA  	NA  	hg19.fa 	aws 	cloudbutton-variant-caller-input 	ayman-lithops-meta-cloudbutton-hutton 	SRA 	 700000 	100000000 	300 	152 	0                                 	csv 	40    	False                          	lumimar/hutton-genomics-v03:18 	4096 	4096 	75% 	900 	900           	54.146.89.181       	i-0cee52f66655d990b 	us-east-1           	1                                                                                        	varcall_out/varcall_3_SRR15068323_700Kfq_100Mfa_40itn_2_rep1.log_functions_sorted.log 	40                                                                                   	         40 	        40 	         40 	            18 	           18 	         18 	     18 	        0 	        0 	0                                                                                                                                                                                                                                                                                                                                                                             	0                                                                                                                                                                                                                                                                                                                                                                                	python varcall_lithops_demo_v5.py -fq SRR15068323 -fa hg19.fa -cl aws -b cloudbutton-variant-caller-input -fb ayman-lithops-meta-cloudbutton-hutton -ds SRA -nfq 700000 -nfa 100000000 -ofa 300 -rl 152 -t 0 -ff csv -itn 40 -s3w False -rt lumimar/hutton-genomics-v03:18 -rtm 4096 -rtr 4096 -bs 75% -ftm 900 -ftr 900 -ip 54.146.89.181 -id i-0cee52f66655d990b -rg us-east-1 
    4 	SRR15068323                                              	NA  	NA  	hg19.fa 	aws 	cloudbutton-variant-caller-input 	ayman-lithops-meta-cloudbutton-hutton 	SRA 	 500000 	100000000 	300 	152 	0                                 	csv 	40    	False                          	lumimar/hutton-genomics-v03:18 	4096 	4096 	75% 	900 	900           	54.146.89.181       	i-0cee52f66655d990b 	us-east-1           	1                                                                                        	varcall_out/varcall_4_SRR15068323_500Kfq_100Mfa_40itn_1_rep1.log_functions_sorted.log 	40                                                                                   	         40 	        40 	         40 	            40 	           40 	         40 	     40 	        1 	        0 	0                                                                                                                                                                                                                                                                                                                                                                             	0                                                                                                                                                                                                                                                                                                                                                                                	python varcall_lithops_demo_v5.py -fq SRR15068323 -fa hg19.fa -cl aws -b cloudbutton-variant-caller-input -fb ayman-lithops-meta-cloudbutton-hutton -ds SRA -nfq 500000 -nfa 100000000 -ofa 300 -rl 152 -t 0 -ff csv -itn 40 -s3w False -rt lumimar/hutton-genomics-v03:18 -rtm 4096 -rtr 4096 -bs 75% -ftm 900 -ftr 900 -ip 54.146.89.181 -id i-0cee52f66655d990b -rg us-east-1 
    4 	SRR15068323                                              	NA  	NA  	hg19.fa 	aws 	cloudbutton-variant-caller-input 	ayman-lithops-meta-cloudbutton-hutton 	SRA 	 500000 	100000000 	300 	152 	0                                 	csv 	40    	False                          	lumimar/hutton-genomics-v03:18 	4096 	4096 	75% 	900 	900           	54.146.89.181       	i-0cee52f66655d990b 	us-east-1           	1                                                                                        	varcall_out/varcall_4_SRR15068323_500Kfq_100Mfa_40itn_2_rep1.log_functions_sorted.log 	40                                                                                   	         40 	        40 	         40 	            40 	           40 	         40 	     40 	        1 	        0 	0                                                                                                                                                                                                                                                                                                                                                                             	0                                                                                                                                                                                                                                                                                                                                                                                	python varcall_lithops_demo_v5.py -fq SRR15068323 -fa hg19.fa -cl aws -b cloudbutton-variant-caller-input -fb ayman-lithops-meta-cloudbutton-hutton -ds SRA -nfq 500000 -nfa 100000000 -ofa 300 -rl 152 -t 0 -ff csv -itn 40 -s3w False -rt lumimar/hutton-genomics-v03:18 -rtm 4096 -rtr 4096 -bs 75% -ftm 900 -ftr 900 -ip 54.146.89.181 -id i-0cee52f66655d990b -rg us-east-1 
    4 	SRR15068323                                              	NA  	NA  	hg19.fa 	aws 	cloudbutton-variant-caller-input 	ayman-lithops-meta-cloudbutton-hutton 	SRA 	 500000 	100000000 	300 	152 	0                                 	csv 	40    	False                          	lumimar/hutton-genomics-v03:18 	4096 	4096 	75% 	900 	900           	54.146.89.181       	i-0cee52f66655d990b 	us-east-1           	1                                                                                        	varcall_out/varcall_4_SRR15068323_500Kfq_100Mfa_40itn_2_rep1.log_functions_sorted.log 	40                                                                                   	         40 	        40 	         40 	            40 	           40 	         40 	     40 	        1 	        0 	0                                                                                                                                                                                                                                                                                                                                                                             	0                                                                                                                                                                                                                                                                                                                                                                                	python varcall_lithops_demo_v5.py -fq SRR15068323 -fa hg19.fa -cl aws -b cloudbutton-variant-caller-input -fb ayman-lithops-meta-cloudbutton-hutton -ds SRA -nfq 500000 -nfa 100000000 -ofa 300 -rl 152 -t 0 -ff csv -itn 40 -s3w False -rt lumimar/hutton-genomics-v03:18 -rtm 4096 -rtr 4096 -bs 75% -ftm 900 -ftr 900 -ip 54.146.89.181 -id i-0cee52f66655d990b -rg us-east-1 
    4 	SRR15068323                                              	NA  	NA  	hg19.fa 	aws 	cloudbutton-variant-caller-input 	ayman-lithops-meta-cloudbutton-hutton 	SRA 	 500000 	100000000 	300 	152 	0                                 	csv 	40    	False                          	lumimar/hutton-genomics-v03:18 	4096 	4096 	75% 	900 	900           	54.146.89.181       	i-0cee52f66655d990b 	us-east-1           	1                                                                                        	varcall_out/varcall_4_SRR15068323_500Kfq_100Mfa_40itn_2_rep1.log_functions_sorted.log 	40                                                                                   	         40 	        40 	         40 	            40 	           40 	         40 	     40 	        1 	        0 	0                                                                                                                                                                                                                                                                                                                                                                             	0                                                                                                                                                                                                                                                                                                                                                                                	python varcall_lithops_demo_v5.py -fq SRR15068323 -fa hg19.fa -cl aws -b cloudbutton-variant-caller-input -fb ayman-lithops-meta-cloudbutton-hutton -ds SRA -nfq 500000 -nfa 100000000 -ofa 300 -rl 152 -t 0 -ff csv -itn 40 -s3w False -rt lumimar/hutton-genomics-v03:18 -rtm 4096 -rtr 4096 -bs 75% -ftm 900 -ftr 900 -ip 54.146.89.181 -id i-0cee52f66655d990b -rg us-east-1 
    4 	SRR15068323                                              	NA  	NA  	hg19.fa 	aws 	cloudbutton-variant-caller-input 	ayman-lithops-meta-cloudbutton-hutton 	SRA 	 500000 	100000000 	300 	152 	0                                 	csv 	40    	False                          	lumimar/hutton-genomics-v03:18 	4096 	4096 	75% 	900 	900           	54.146.89.181       	i-0cee52f66655d990b 	us-east-1           	1                                                                                        	varcall_out/varcall_4_SRR15068323_500Kfq_100Mfa_40itn_2_rep1.log_functions_sorted.log 	40                                                                                   	         40 	        40 	         40 	            40 	           40 	         40 	     40 	        1 	        0 	0                                                                                                                                                                                                                                                                                                                                                                             	0                                                                                                                                                                                                                                                                                                                                                                                	python varcall_lithops_demo_v5.py -fq SRR15068323 -fa hg19.fa -cl aws -b cloudbutton-variant-caller-input -fb ayman-lithops-meta-cloudbutton-hutton -ds SRA -nfq 500000 -nfa 100000000 -ofa 300 -rl 152 -t 0 -ff csv -itn 40 -s3w False -rt lumimar/hutton-genomics-v03:18 -rtm 4096 -rtr 4096 -bs 75% -ftm 900 -ftr 900 -ip 54.146.89.181 -id i-0cee52f66655d990b -rg us-east-1 
    4 	SRR15068323                                              	NA  	NA  	hg19.fa 	aws 	cloudbutton-variant-caller-input 	ayman-lithops-meta-cloudbutton-hutton 	SRA 	 500000 	100000000 	300 	152 	0                                 	csv 	40    	False                          	lumimar/hutton-genomics-v03:18 	4096 	4096 	75% 	900 	900           	54.146.89.181       	i-0cee52f66655d990b 	us-east-1           	1                                                                                        	varcall_out/varcall_4_SRR15068323_500Kfq_100Mfa_40itn_2_rep1.log_functions_sorted.log 	40                                                                                   	         40 	        40 	         40 	            40 	           40 	         40 	     40 	        1 	        0 	0                                                                                                                                                                                                                                                                                                                                                                             	0                                                                                                                                                                                                                                                                                                                                                                                	python varcall_lithops_demo_v5.py -fq SRR15068323 -fa hg19.fa -cl aws -b cloudbutton-variant-caller-input -fb ayman-lithops-meta-cloudbutton-hutton -ds SRA -nfq 500000 -nfa 100000000 -ofa 300 -rl 152 -t 0 -ff csv -itn 40 -s3w False -rt lumimar/hutton-genomics-v03:18 -rtm 4096 -rtr 4096 -bs 75% -ftm 900 -ftr 900 -ip 54.146.89.181 -id i-0cee52f66655d990b -rg us-east-1 
    4 	SRR15068323                                              	NA  	NA  	hg19.fa 	aws 	cloudbutton-variant-caller-input 	ayman-lithops-meta-cloudbutton-hutton 	SRA 	 500000 	100000000 	300 	152 	0                                 	csv 	40    	False                          	lumimar/hutton-genomics-v03:18 	4096 	4096 	75% 	900 	900           	54.146.89.181       	i-0cee52f66655d990b 	us-east-1           	1                                                                                        	varcall_out/varcall_4_SRR15068323_500Kfq_100Mfa_40itn_2_rep1.log_functions_sorted.log 	40                                                                                   	         40 	        40 	         40 	            40 	           40 	         40 	     40 	        1 	        0 	0                                                                                                                                                                                                                                                                                                                                                                             	0                                                                                                                                                                                                                                                                                                                                                                                	python varcall_lithops_demo_v5.py -fq SRR15068323 -fa hg19.fa -cl aws -b cloudbutton-variant-caller-input -fb ayman-lithops-meta-cloudbutton-hutton -ds SRA -nfq 500000 -nfa 100000000 -ofa 300 -rl 152 -t 0 -ff csv -itn 40 -s3w False -rt lumimar/hutton-genomics-v03:18 -rtm 4096 -rtr 4096 -bs 75% -ftm 900 -ftr 900 -ip 54.146.89.181 -id i-0cee52f66655d990b -rg us-east-1 
    4 	SRR15068323                                              	NA  	NA  	hg19.fa 	aws 	cloudbutton-variant-caller-input 	ayman-lithops-meta-cloudbutton-hutton 	SRA 	 500000 	100000000 	300 	152 	0                                 	csv 	40    	False                          	lumimar/hutton-genomics-v03:18 	4096 	4096 	75% 	900 	900           	54.146.89.181       	i-0cee52f66655d990b 	us-east-1           	1                                                                                        	varcall_out/varcall_4_SRR15068323_500Kfq_100Mfa_40itn_4_rep1.log_functions_sorted.log 	40                                                                                   	         40 	        40 	         40 	            40 	           40 	         80 	     80 	        1 	        4 	4                                                                                                                                                                                                                                                                                                                                                                             	4                                                                                                                                                                                                                                                                                                                                                                                	python varcall_lithops_demo_v5.py -fq SRR15068323 -fa hg19.fa -cl aws -b cloudbutton-variant-caller-input -fb ayman-lithops-meta-cloudbutton-hutton -ds SRA -nfq 500000 -nfa 100000000 -ofa 300 -rl 152 -t 0 -ff csv -itn 40 -s3w False -rt lumimar/hutton-genomics-v03:18 -rtm 4096 -rtr 4096 -bs 75% -ftm 900 -ftr 900 -ip 54.146.89.181 -id i-0cee52f66655d990b -rg us-east-1 
    4 	SRR15068323                                              	NA  	NA  	hg19.fa 	aws 	cloudbutton-variant-caller-input 	ayman-lithops-meta-cloudbutton-hutton 	SRA 	 500000 	100000000 	300 	152 	0                                 	csv 	40    	False                          	lumimar/hutton-genomics-v03:18 	4096 	4096 	75% 	900 	900           	54.146.89.181       	i-0cee52f66655d990b 	us-east-1           	1                                                                                        	varcall_out/varcall_4_SRR15068323_500Kfq_100Mfa_40itn_4_rep1.log_functions_sorted.log 	40                                                                                   	         40 	        40 	         40 	            40 	           40 	         80 	     80 	        1 	        4 	4                                                                                                                                                                                                                                                                                                                                                                             	4                                                                                                                                                                                                                                                                                                                                                                                	python varcall_lithops_demo_v5.py -fq SRR15068323 -fa hg19.fa -cl aws -b cloudbutton-variant-caller-input -fb ayman-lithops-meta-cloudbutton-hutton -ds SRA -nfq 500000 -nfa 100000000 -ofa 300 -rl 152 -t 0 -ff csv -itn 40 -s3w False -rt lumimar/hutton-genomics-v03:18 -rtm 4096 -rtr 4096 -bs 75% -ftm 900 -ftr 900 -ip 54.146.89.181 -id i-0cee52f66655d990b -rg us-east-1 
